入替日,2025/11/13,,,,,
入替時刻,15:34,,,,,
ホール名,台番号,種類,機種名,検定番号,貸出単価,表示単価
タイホー　双葉店,1,P,ｅ仮面ライダー電王ＫＬ１２,4P0721,4.16,500円/120玉
タイホー　双葉店,2,P,ｅ仮面ライダー電王ＫＬ１２,4P0721,4.16,500円/120玉
タイホー　双葉店,3,P,ｅ仮面ライダー電王ＫＬ１２,4P0721,4.16,500円/120玉
タイホー　双葉店,5,P,ｅＵＬＴＲＡＭＡＮ－Ｋ１,4P0962,4.16,500円/120玉
タイホー　双葉店,6,P,ｅＵＬＴＲＡＭＡＮ－Ｋ１,4P0962,4.16,500円/120玉
タイホー　双葉店,7,P,ｅフィーバー戦姫絶唱シンフォギア４Ｆ,4P1149,4.16,500円/120玉
タイホー　双葉店,8,P,ｅフィーバー戦姫絶唱シンフォギア４Ｆ,4P1149,4.16,500円/120玉
タイホー　双葉店,10,P,ｅ蒼天の拳羅龍ＳＲＥＮ,410674,4.16,500円/120玉
タイホー　双葉店,11,P,ｅ蒼天の拳羅龍ＳＲＥＮ,410674,4.16,500円/120玉
タイホー　双葉店,12,P,ｅゴジラ対エヴァンゲリオン２ｂＡ,410449,4.16,500円/120玉
タイホー　双葉店,13,P,ｅゴジラ対エヴァンゲリオン２ｂＡ,410449,4.16,500円/120玉
タイホー　双葉店,15,P,ｅゴジラ対エヴァンゲリオン２ｂＡ,410449,4.16,500円/120玉
タイホー　双葉店,16,P,ｅシン・エヴァンゲリオンＺ,3P0777,4.16,500円/120玉
タイホー　双葉店,17,P,ｅシン・エヴァンゲリオンＺ,3P0777,4.16,500円/120玉
タイホー　双葉店,18,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,20,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,21,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,22,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,23,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,25,P,ｅ北斗の拳１０ＧＨＥＧ,410164,4.16,500円/120玉
タイホー　双葉店,26,P,Ｐ　Ｒｅ：ゼロから始める異世界生活　鬼がかりｖｅｒ.　Ｍ０８,1P0774,4.16,500円/120玉
タイホー　双葉店,27,P,Ｐ　Ｒｅ：ゼロから始める異世界生活　鬼がかりｖｅｒ.　Ｍ０８,1P0774,4.16,500円/120玉
タイホー　双葉店,28,P,Ｐ　Ｒｅ：ゼロから始める異世界生活　鬼がかりｖｅｒ.　Ｍ０８,1P0774,4.16,500円/120玉
タイホー　双葉店,30,P,ｅフィーバーからくりサーカス２Ｒ,410393,4.16,500円/120玉
タイホー　双葉店,31,P,ｅフィーバーからくりサーカス２Ｒ,410393,4.16,500円/120玉
タイホー　双葉店,32,P,ｅフィーバーからくりサーカス２Ｒ,410393,4.16,500円/120玉
タイホー　双葉店,33,P,ｅ／押忍番長漢の頂／Ｌ０９,4P1123,4.16,500円/120玉
タイホー　双葉店,35,P,ｅ／押忍番長漢の頂／Ｌ０９,4P1123,4.16,500円/120玉
タイホー　双葉店,36,P,ｅゴッドイータートリプルバーストＭＪ,410192,4.16,500円/120玉
タイホー　双葉店,37,P,ｅゴッドイータートリプルバーストＭＪ,410192,4.16,500円/120玉
タイホー　双葉店,38,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,4.16,500円/120玉
タイホー　双葉店,50,P,ＰＡスーパー海物語ＩＮ沖縄５ＹＢＡ,2P0057,4.16,500円/120玉
タイホー　双葉店,51,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,4.16,500円/120玉
タイホー　双葉店,52,P,ＰＡ新海物語ＡＲＢＢ,210053,4.16,500円/120玉
タイホー　双葉店,53,P,ＰＡ新海物語ＡＲＢＢ,210053,4.16,500円/120玉
タイホー　双葉店,55,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,4.16,500円/120玉
タイホー　双葉店,56,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,4.16,500円/120玉
タイホー　双葉店,57,P,ＰＡスーパー海物語ＩＮ地中海２ＨＬＡ,410099,4.16,500円/120玉
タイホー　双葉店,58,P,ＰＡスーパー海物語ＩＮ地中海２ＨＬＡ,410099,4.16,500円/120玉
タイホー　双葉店,60,P,ＰＡスーパー海物語ＩＮ地中海２ＨＬＡ,410099,4.16,500円/120玉
タイホー　双葉店,61,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,4.16,500円/120玉
タイホー　双葉店,62,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,4.16,500円/120玉
タイホー　双葉店,63,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,4.16,500円/120玉
タイホー　双葉店,65,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,4.16,500円/120玉
タイホー　双葉店,66,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,4.16,500円/120玉
タイホー　双葉店,67,P,Ｐスーパー海物語ＩＮ沖縄５ＳＣＦ,1P0514,4.16,500円/120玉
タイホー　双葉店,68,P,Ｐ海物語Ｅ,0P0828,4.16,500円/120玉
タイホー　双葉店,70,P,Ｐ海物語Ｅ,0P0828,4.16,500円/120玉
タイホー　双葉店,71,P,Ｐ海物語Ｅ,0P0828,4.16,500円/120玉
タイホー　双葉店,72,P,Ｐスーパー海物語ＩＮ沖縄５ＹＴＣ,1P1703,4.16,500円/120玉
タイホー　双葉店,73,P,Ｐゴジラ対エヴァンゲリオン２Ｒ,4P0672,4.16,500円/120玉
タイホー　双葉店,75,P,Ｐゴジラ対エヴァンゲリオン２Ｒ,4P0672,4.16,500円/120玉
タイホー　双葉店,76,P,ｅ花の慶次～傾奇一転Ｌ２－ＭＸ,4P0179,4.16,500円/120玉
タイホー　双葉店,77,P,ｅ花の慶次～傾奇一転Ｌ２－ＭＸ,4P0179,4.16,500円/120玉
タイホー　双葉店,78,P,ｅ花の慶次～傾奇一転Ｌ２－ＭＸ,4P0179,4.16,500円/120玉
タイホー　双葉店,80,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,81,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,82,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,83,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,85,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,86,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
タイホー　双葉店,87,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
